xAxis,yAxis,zAxis
0,0,0
1,1,0
1,1,0
2,1,0
2,1,1
2,1,1
3,2,1
3,2,1
4,2,1
4,2,1
4,2,2
5,2,2
5,3,2
6,3,2
6,3,2
6,3,2
7,3,2
7,3,3
8,3,3
8,4,3
8,4,3
9,4,3
9,4,3
10,4,3
10,4,3
10,5,3
11,5,4
11,5,4
12,5,4
12,5,4
12,5,4
13,5,4
13,6,4
14,6,5
14,6,5
14,6,5
15,6,5
15,6,5
16,7,5
16,7,5
16,7,6
17,7,6
17,7,6
18,7,6
18,8,6
18,8,6
19,8,6
19,8,7
20,8,7
20,8,7
20,8,7
21,9,7
21,9,7
22,9,7
22,9,7
22,9,8
23,9,8
23,10,8
24,10,8
24,10,8
24,10,8
25,10,8
25,10,9
26,11,9
26,11,9
26,11,9
27,11,9
27,11,9
28,11,9
28,11,10
28,12,10
29,12,10
29,12,10
30,12,10
30,12,10
30,12,10
31,13,11
31,13,11
32,13,11
32,13,11
32,13,11
33,13,11
33,14,11
34,14,11
34,14,12
34,14,12
35,14,12
35,14,12
36,14,12
36,15,12
36,15,12
37,15,13
37,15,13
38,15,13
38,15,13
38,16,13
39,16,13
39,16,13
40,16,14
40,16,14
40,16,14
41,17,14
41,17,14
42,17,14
42,17,14
42,17,14
43,17,15
43,17,15
44,18,15
44,18,15
44,18,15
45,18,15
45,18,15
46,18,16
46,19,16
46,19,16
47,19,16
47,19,16
48,19,16
48,19,16
48,20,17
49,20,17
49,20,17
50,20,17
50,20,17
50,20,17
51,20,17
51,21,18
52,21,18
52,21,18
52,21,18
53,21,18
53,21,18
54,22,18
54,22,18
54,22,19
55,22,19
55,22,19
56,22,19
56,23,19
56,23,19
57,23,19
57,23,20
58,23,20
58,23,20
58,23,20
59,24,20
59,24,20
60,24,20
60,24,21
60,24,21
61,24,21
61,25,21
62,25,21
62,25,21
62,25,21
63,25,21
63,25,22
64,26,22
64,26,22
64,26,22
65,26,22
65,26,22
66,26,22
66,26,23
66,27,23
67,27,23
67,27,23
68,27,23
68,27,23
68,27,23
69,28,24
69,28,24
70,28,24
70,28,24
70,28,24
71,28,24
71,29,24
72,29,24
72,29,25
72,29,25
73,29,25
73,29,25
74,29,25
74,30,25
74,30,25
75,30,26
75,30,26
76,30,26
76,30,26
76,31,26
77,31,26
77,31,26
78,31,27
78,31,27
78,31,27
79,32,27
79,32,27
80,32,27
80,32,27
80,32,28
81,32,28
81,32,28
82,33,28
82,33,28
82,33,28
83,33,28
83,33,28
84,33,29
84,34,29
84,34,29
85,34,29
85,34,29
86,34,29
86,34,29
86,35,30
87,35,30
87,35,30
88,35,30
88,35,30
88,35,30
89,35,30
89,36,31
90,36,31
90,36,31
90,36,31
91,36,31
91,36,31
92,37,31
92,37,31
92,37,32
93,37,32
93,37,32
94,37,32
94,38,32
94,38,32
95,38,32
95,38,33
96,38,33
96,38,33
96,38,33
97,39,33
97,39,33
98,39,33
98,39,34
98,39,34
99,39,34
99,40,34
100,40,34
100,40,34
100,40,34
101,40,35
101,40,35
102,41,35
102,41,35
102,41,35
103,41,35
103,41,35
104,41,35
104,41,36
104,42,36
105,42,36
105,42,36
106,42,36
106,42,36
106,42,36
107,43,37
107,43,37
108,43,37
108,43,37
108,43,37
109,43,37
109,44,37
110,44,38
110,44,38
110,44,38
111,44,38
111,44,38
112,44,38
112,45,38
112,45,38
113,45,39
113,45,39
114,45,39
114,45,39
114,46,39
115,46,39
115,46,39
116,46,40
116,46,40
116,46,40
117,47,40
117,47,40
118,47,40
118,47,40
118,47,41
119,47,41
119,47,41
120,48,41
120,48,41
120,48,41
121,48,41
121,48,41
122,48,42
122,49,42
122,49,42
123,49,42
123,49,42
124,49,42
124,49,42
124,50,43
125,50,43
125,50,43
126,50,43
126,50,43
126,50,43
127,50,43
127,51,44
128,51,44
128,51,44
128,51,44
129,51,44
129,51,44
130,52,44
130,52,45
130,52,45
131,52,45
131,52,45
132,52,45
132,53,45
132,53,45
133,53,45
133,53,46
134,53,46
134,53,46
134,53,46
135,54,46
135,54,46
136,54,46
136,54,47
136,54,47
137,54,47
137,55,47
138,55,47
138,55,47
138,55,47
139,55,48
139,55,48
140,56,48
140,56,48
140,56,48
141,56,48
141,56,48
142,56,48
142,56,49
142,57,49
143,57,49
143,57,49
144,57,49
144,57,49
144,57,49
145,58,50
145,58,50
146,58,50
146,58,50
146,58,50
147,58,50
147,59,50
148,59,51
148,59,51
148,59,51
149,59,51
149,59,51
150,59,51
150,60,51
150,60,52
151,60,52
151,60,52
152,60,52
152,60,52
152,61,52
153,61,52
153,61,52
154,61,53
154,61,53
154,61,53
155,62,53
155,62,53
156,62,53
156,62,53
156,62,54
157,62,54
157,62,54
158,63,54
158,63,54
158,63,54
159,63,54
159,63,55
160,63,55
160,64,55
160,64,55
161,64,55
161,64,55
162,64,55
162,64,55
162,65,56
163,65,56
163,65,56
164,65,56
164,65,56
164,65,56
165,65,56
165,66,57
166,66,57
166,66,57
166,66,57
167,66,57
167,66,57
168,67,57
168,67,58
168,67,58
169,67,58
169,67,58
170,67,58
170,68,58
170,68,58
171,68,58
171,68,59
172,68,59
172,68,59
172,68,59
173,69,59
173,69,59
174,69,59
174,69,60
174,69,60
175,69,60
175,70,60
176,70,60
176,70,60
176,70,60
177,70,61
177,70,61
178,71,61
178,71,61
178,71,61
179,71,61
179,71,61
180,71,62
180,71,62
180,72,62
181,72,62
181,72,62
182,72,62
182,72,62
182,72,62
183,73,63
183,73,63
184,73,63
184,73,63
184,73,63
185,73,63
185,74,63
186,74,64
186,74,64
186,74,64
187,74,64
187,74,64
188,74,64
188,75,64
188,75,65
189,75,65
189,75,65
190,75,65
190,75,65
190,76,65
191,76,65
191,76,65
192,76,66
192,76,66
192,76,66
193,77,66
193,77,66
194,77,66
194,77,66
194,77,67
195,77,67
195,77,67
196,78,67
196,78,67
196,78,67
197,78,67
197,78,68
198,78,68
198,79,68
198,79,68
199,79,68
199,79,68
200,79,68
200,79,69
200,80,69
201,80,69
201,80,69
202,80,69
202,80,69
202,80,69
203,80,69
203,81,70
204,81,70
204,81,70
204,81,70
205,81,70
205,81,70
206,82,70
206,82,71
206,82,71
207,82,71
207,82,71
208,82,71
208,83,71
208,83,71
209,83,72
209,83,72
210,83,72
210,83,72
210,83,72
211,84,72
211,84,72
212,84,72
212,84,73
212,84,73
213,84,73
213,85,73
214,85,73
214,85,73
214,85,73
215,85,74
215,85,74
216,86,74
216,86,74
216,86,74
217,86,74
217,86,74
218,86,75
218,86,75
218,87,75
219,87,75
219,87,75
220,87,75
220,87,75
220,87,75
221,88,76
221,88,76
222,88,76
222,88,76
222,88,76
223,88,76
223,89,76
224,89,77
224,89,77
224,89,77
225,89,77
225,89,77
226,89,77
226,90,77
226,90,78
227,90,78
227,90,78
228,90,78
228,90,78
228,91,78
229,91,78
229,91,79
230,91,79
230,91,79
230,91,79
231,92,79
231,92,79
232,92,79
232,92,79
232,92,80
233,92,80
233,92,80
234,93,80
234,93,80
234,93,80
235,93,80
235,93,81
236,93,81
236,94,81
236,94,81
237,94,81
237,94,81
238,94,81
238,94,82
238,95,82
239,95,82
239,95,82
240,95,82
240,95,82
240,95,82
241,95,82
241,96,83
242,96,83
242,96,83
242,96,83
243,96,83
243,96,83
244,97,83
244,97,84
244,97,84
245,97,84
245,97,84
246,97,84
246,98,84
246,98,84
247,98,85
247,98,85
248,98,85
248,98,85
248,98,85
249,99,85
249,99,85
250,99,86
250,99,86
250,99,86
251,99,86
251,100,86
252,100,86
252,100,86
252,100,86
253,100,87
253,100,87
254,101,87
254,101,87
254,101,87
255,101,87
255,101,87
